Nahráno na Disk GS,Název souboru v databázi,ID písně,Název písně,v archivu,downloaded
,k97-jezis-je-pan-panu.jpg,310,Ježíš je Pán pánů,not available,false
,k89-jezis-jezis-je-pan.jpg,312,"Ježíš, Ježíš je Pán",not available,false
,k29-jezis-nejkrasnejsi-ze-vsech-jmen.jpg,314,"Ježíš, nejkrásnější ze všech jmen",not available,false
,k106-jezisi-ty-jsi-chleb-zivy.jpg,318,"Ježíši, Ty jsi chléb živý",not available,false
,k174-jezisi-ty-jsi-muj-pan.jpg,319,"Ježíši, Ty jsi můj Pán",not available,false
,k49-jsme-deti-tve.jpg,324,Jsme děti Tvé,not available,false
,k35-klanime-se-pred-tvou-tvari.jpg,331,Klaníme se před Tvou tváří,not available,false
,k121-ma-silo.jpg,338,Má sílo,not available,false
,k80-ma-vira.jpg,339,Má víra,not available,false
,k86-me-dlane-zvednute.jpg,344,Mé dlaně zvednuté,not available,false
,k42-napln-pane-napln-mne.jpg,354,"Naplň, Pane, naplň mne",not available,false
,k43-naplnuj-mne-duchem.jpg,355,Naplňuj mne Duchem svým,not available,false
,EvK168.pdf,355,Naplňuj mne Duchem svým,not available,false
,k221-prinasime-chleb.jpg,368,Přinášíme chléb,not available,false
,k188-slava-nas-pan-je-ziv.jpg,369,"Sláva, náš Pán je živ",not available,false
,k46-na-kolenou.jpg,380,Na kolenou,not available,false
,181.pdf,391,Prosba k Duchu Svatému,http://web.archive.org/web/20250807034425/https://zpevnik.proscholy.cz/soubor/181.pdf,true
,k147-tleskejte-rukama-vic.jpg,397,Tleskejte rukama víc,not available,false
,k62-vsichni-jako-ovce.jpg,404,Všichni jako ovce,not available,false
,k183-zpivat-pisen-lasky-smim.jpg,405,Zpívat píseň lásky smím,not available,false
,ch1-dekujte-hospodinu.pdf,410,Děkujte Hospodinu,not available,false
,ch1-at-nam-hospodin-zehna.jpg,411,Ať nám Hospodin žehná,not available,false
,vsechnu-nadeji-prikryl.jpg,412,Všechnu naději,not available,false
,ch1-uzrely-vsechny-konciny.jpg,413,Uzřely všechny končiny,not available,false
,k166-rabunni.jpg,414,Rabunni,not available,false
,k137-eucharistia.jpg,415,Eucharistia,not available,false
,k134-na-oltar.jpg,417,Na oltář,not available,false
,k38-tady-u-tvych-nohou.jpg,418,Tady u Tvých nohou,not available,false
,k103-jako-dym-kadidla-stoupa.jpg,419,Jako dým kadidla,not available,false
,k102-duchem-svatym.jpg,420,"Duchem Svatým provázíš, Pane",not available,false
,k85-prichazi-nas-pan.jpg,421,Přichází náš Pán,not available,false
,k112-slava-tva.jpg,422,Sláva Tvá,not available,false
,k20-vsechny-narody.jpg,423,Všechny národy,not available,false
,2ch-chci-te-oslavovat-hospodine.pdf,424,"Chci Tě oslavovat, Hospodine",not available,false
,k222-zaradoval-jsem-se-kdyz-mi-rekli.jpg,425,"Zaradoval jsem se, když mi řekli",not available,false
,3ch-prijd-k-nam-duchu-bozi.jpg,427,"Přijď k nám, Duchu Boží",not available,false
,3ch-duse-ma-chval-hospodina.jpg,428,Duše má chval Hospodina,not available,false
,3ch-chci-ti-pane-chvalu-vzdat.jpg,429,"Chci Ti, Pane, chválu vzdát",not available,false
,3ch-ma-duse-te-velebi.pdf,430,Má duše Tě velebí,not available,false
,k180-vic-lasky.jpg,431,Víc lásky,not available,false
,k218-pan-da-pozehnani.jpg,433,Pán dá požehnání (Žalm 29),not available,false
,reka-tve-lasky-0.pdf,438,Řeka Tvé lásky,http://web.archive.org/web/20250325220125/https://zpevnik.proscholy.cz/soubor/reka-tve-lasky-0.pdf,true
,k65-alfa-i-omega.jpg,444,Alfa i Omega,not available,false
,k51-brzy-prijde-den.jpg,457,Brzy přijde den,not available,false
,220.pdf,472,"Chtíc, aby spal",http://web.archive.org/web/20250715222404/https://zpevnik.proscholy.cz/soubor/220.pdf,true
