song_lyric_id,licence
4835,1
4836,1
4837,1
4838,1
4839,1
4840,1
4841,1
4842,1
4843,1
4844,1
4845,1
4846,0
4847,1
4848,1
4849,1
4850,0
100,1
47,1
4851,2
49,0
4852,1
4853,1
4854,1
4855,1
4856,1
4857,1
4858,0
401,0
1346,0
4859,1
4860,1
4862,1
4863,1
4864,1
4865,1
4866,1
4867,1
4868,1
4869,1
4870,1
4871,1
4872,1
4873,0
4874,1
1788,1
4875,1
4876,1
4877,1
4878,1
4879,0
4880,1
4881,1
4882,1
4883,1
4884,1
1328,0
4885,0
4886,1
4887,1
4888,1
4889,2
4890,1
4891,1
4892,1
1657,0
4893,0
2298,0
1777,0
4894,1
4895,1
4896,1
4897,1
4898,1
4899,1
4900,2
4901,1
4902,0
1334,1
4903,0
1290,0
4904,1
4905,1
4906,1
4907,1
2716,1
4908,0
4909,0
4910,0
