song_lyric_id,licence
4223,1
4224,1
4225,1
309,1
4226,1
4227,2
4228,1
4229,1
4230,1
4231,1
4232,0
4233,0
4234,2
4235,1
4236,1
4237,2
4238,2
4239,1
4240,1
4241,1
4911,0
4242,1
4243,1
4244,1
4245,1
4285,0
4247,1
4248,2
4249,1
4250,1
4251,1
4252,2
4253,1
4254,1
4255,1
4256,1
4257,1
4258,1
4259,1
4260,0
4261,1
4262,1
4263,2
4264,1
4265,1
4266,1
4267,1
4268,1
4269,1
4270,1
4271,1
4272,0
4273,2
4274,2
4275,1
4276,2
4277,1
4278,1
4286,1
4280,2
4281,1
4282,1
4287,1
4288,1
4289,2
4290,1
4291,1
4292,2
4293,1
4294,1
4295,2
4296,0
4297,2
4298,1
202,0
4299,2
4300,1
4301,2
4302,1
4303,1
4304,1
4305,1
4306,1
4307,2
4308,1
4309,2
4310,1
4311,2
4312,1
4313,1
4314,1
4315,1
4316,1
4317,1
4319,1
4320,1
4321,1
4322,2
4323,1
4324,1
4325,1
4326,1
346,0
4327,1
4328,1
4329,2
4330,1
4331,1
4332,1
4333,0
4334,1
4335,1
4336,2
4337,1
4338,1
4339,1
4340,1
4341,1
4342,1
4343,2
4344,2
4345,1
4346,1
4347,2
4348,1
4350,1
4351,0
4352,1
4353,1
4354,1
4355,1
4356,1
4357,2
4358,1
4359,1
4360,2
4361,2
5016,1
4362,1
4363,1
4364,1
4365,1
4366,1
1026,0
41,0
4367,1
35,0
4368,1
4369,1
4370,1
4371,1
4372,1
4373,1
4374,2
4375,2
4376,1
4377,2
4378,2
4379,0
4380,2
4381,1
4382,2
4383,1
4384,1
1250,1
4385,1
4386,1
4387,1
4388,1
4389,0
4391,1
4392,2
4393,1
1774,1
4394,1
4395,1
4396,0
4397,2
4398,1
4399,1
4400,2
4401,1
4402,1
4403,1
4404,1
4405,1
4406,1
1281,1
4407,1
4408,1
4409,0
4410,1
4411,1
4412,1
4413,1
4414,2
4415,1
4416,1
4417,1
4418,1
4419,2
2724,0
10,1
2175,1
4420,2
340,0
1723,1
4421,2
4422,0
2738,0
2744,0
690,0
4423,2
2263,1
4424,2
4425,1
4426,1
4427,1
4428,2
4429,2
4430,1
4431,0
4432,2
4433,1
4434,0
4435,1
4436,0
4437,1
4438,1
4439,1
4441,1
4442,1
4443,1
4444,1
4445,1
4446,0
4447,1
1220,1
4448,0
1424,1
1302,1
4449,1
4450,1
4451,1
4452,1
1358,1
4453,1
4454,2
4455,1
4456,0
14,0
2307,1
4457,1
4458,1
4459,1
4460,1
4461,1
4462,1
4463,1
4464,1
4465,1
4466,1
4467,1
4468,1
4469,2
4470,1
4471,0
995,0
12,0
4472,1
5042,1
5043,1
2308,1
4473,1
4474,2
4475,1
4476,1
4477,1
4478,1
4479,1
4480,1
4481,1
4482,1
4483,1
4484,2
4485,1
4486,1
4487,1
4488,1
4489,1
4490,1
4491,1
4492,2
4493,1
2310,1
4494,1
3366,1
3359,1
5017,1
5030,0
4495,1
4496,1
4497,1
4498,2
4499,2
4500,1
4501,1
4502,2
4503,1
4504,1
4505,1
4506,1
4507,1
4508,1
4509,0
4510,0
4511,0
4512,1
1233,1
4513,1
4514,1
4515,1
4516,1
4517,1
4518,1
4519,1
1687,1
4520,0
4521,1
1350,1
4913,1
4522,1
5018,1
4523,1
4524,2
4525,1
4526,1
1105,1
4527,1
4528,1
4529,1
4530,1
4531,1
4532,0
4533,2
